Species,x,y
Rudbeckia_laciniata,228856,3936126
Rudbeckia_laciniata,229757,3934914
Rudbeckia_laciniata,229775,3934909
Rudbeckia_laciniata,229832,3935348
Rudbeckia_laciniata,230232,3939245
Rudbeckia_laciniata,234365,3944158
Rudbeckia_laciniata,234466,3944697
Rudbeckia_laciniata,234875,3945468
Rudbeckia_laciniata,241182,3934669
Rudbeckia_laciniata,242141,3934592
Rudbeckia_laciniata,242745,3934746
Rudbeckia_laciniata,243392,3927113
Rudbeckia_laciniata,245726,3948128
Rudbeckia_laciniata,245896,3936731
Rudbeckia_laciniata,248724,3941101
Rudbeckia_laciniata,249762,3939230
Rudbeckia_laciniata,249776,3939255
Rudbeckia_laciniata,251080,3947268
Rudbeckia_laciniata,251116,3947008
Rudbeckia_laciniata,251116,3947058
Rudbeckia_laciniata,251147,3947155
Rudbeckia_laciniata,251216,3946908
Rudbeckia_laciniata,252006,3938765
Rudbeckia_laciniata,252010,3938732
Rudbeckia_laciniata,252040,3938405
Rudbeckia_laciniata,253644,3929477
Rudbeckia_laciniata,253737,3929697
Rudbeckia_laciniata,255711,3926700
Rudbeckia_laciniata,261116,3942709
Rudbeckia_laciniata,261125,3942711
Rudbeckia_laciniata,261199,3939414
Rudbeckia_laciniata,261672,3939564
Rudbeckia_laciniata,261692,3939608
Rudbeckia_laciniata,262494,3931664
Rudbeckia_laciniata,262551,3931685
Rudbeckia_laciniata,262816,3931948
Rudbeckia_laciniata,263130,3925848
Rudbeckia_laciniata,263604,3932408
Rudbeckia_laciniata,266213,3936843
Rudbeckia_laciniata,266433,3936994
Rudbeckia_laciniata,268360,3926543
Rudbeckia_laciniata,268586,3927069
Rudbeckia_laciniata,268612,3927053
Rudbeckia_laciniata,271265,3933050
Rudbeckia_laciniata,272875,3931099
Rudbeckia_laciniata,273366,3936525
Rudbeckia_laciniata,274965,3947446
Rudbeckia_laciniata,275499,3942570
Rudbeckia_laciniata,275569,3945426
Rudbeckia_laciniata,275692,3947786
Rudbeckia_laciniata,275716,3946979
Rudbeckia_laciniata,276751,3949248
Rudbeckia_laciniata,278626,3945715
Rudbeckia_laciniata,279158,3949332
Rudbeckia_laciniata,280147,3929391
Rudbeckia_laciniata,281667,3957415
Rudbeckia_laciniata,282151,3941474
Rudbeckia_laciniata,285039,3959220
Rudbeckia_laciniata,285196,3958816
Rudbeckia_laciniata,286191,3940703
Rudbeckia_laciniata,288235,3953642
Rudbeckia_laciniata,291167,3932322
Rudbeckia_laciniata,291188,3931842
Rudbeckia_laciniata,291487,3932410
Rudbeckia_laciniata,293357,3943409
Rudbeckia_laciniata,294904,3956195
Rudbeckia_laciniata,295089,3956346
Rudbeckia_laciniata,295254,3956065
Rudbeckia_laciniata,295352,3942621
Rudbeckia_laciniata,295615,3956390
Rudbeckia_laciniata,295913,3956383
Rudbeckia_laciniata,296021,3956758
Rudbeckia_laciniata,296061,3958488
Rudbeckia_laciniata,296093,3956323
Rudbeckia_laciniata,296167,3956388
Rudbeckia_laciniata,297221,3946252
Rudbeckia_laciniata,301836,3940545
Rudbeckia_laciniata,303067,3936150
Rudbeckia_laciniata,303777,3936614
Rudbeckia_laciniata,305470,3956357
Rudbeckia_laciniata,305766,3952532
Rudbeckia_laciniata,310936,3944991
Rudbeckia_laciniata,312119,3939989
Rudbeckia_laciniata,312261,3939399
Rudbeckia_laciniata,312283,3940000
Rudbeckia_laciniata,313363,3940632
